sec,hr,ve,vo2,vco2,fat,cho,phases,rer
374.0,0,142.763,4450.5494037,4358.9547234,2241,29658,NONE,0.9794194666789112
376.0,0,145.119,4583.7522858,4493.4746408,2209,30651,NONE,0.9803048595624002
377.0,0,143.866,4410.2944968,4377.4204128,807,30896,NONE,0.9925460569529194
379.0,0,34.636,329.8511482,340.1839559,0,2391,NONE,1.0313256684307033
379.0,0,132.482,5696.6797253,5234.9191857,11145,29140,NONE,0.9189421624759352
381.0,0,152.683,5141.0434007,4942.7424945,4832,31870,NONE,0.9614278871536078
382.0,0,152.107,4873.0527301,4718.8003473,3764,31078,NONE,0.9683458416431224
383.0,0,156.0,4862.5494854,4811.9094189,1242,33689,NONE,0.9895856964228232
385.0,0,139.8,4402.149549,4383.5132598,458,31208,NONE,0.9957665479119778
386.0,0,142.638,4385.4713555,4373.7937182,287,31270,NONE,0.9973371990480898
388.0,0,143.1,4361.2295825,4363.3799236,0,31404,NONE,1.0004930584504492
389.0,0,140.6,4352.1797186,4383.5132598,0,31385,NONE,1.0071995053573015
390.0,0,137.299,4156.4097086,4146.7679291,237,29674,NONE,0.997680262491917
392.0,0,147.762,4614.1004268,4539.643039,1823,31280,NONE,0.983863076025062
394.0,0,112.5,3799.8783466,3778.7197429,519,26806,NONE,0.9944317681330688
395.0,0,138.095,4569.1968195,4427.7911715,3451,29223,NONE,0.969052406016628
396.0,0,141.182,4602.3535626,4469.5164763,3244,29683,NONE,0.9711371400538474
397.0,0,141.84,4464.8188785,4249.3835857,5238,26568,NONE,0.9517482570597852
399.0,0,134.063,4219.7707398,4073.8547392,3558,26593,NONE,0.9654208700904646
400.0,0,135.0,4389.8456245,4232.3526278,3840,27518,NONE,0.9641233405063218
401.0,0,140.427,4517.1513522,4362.6644721,3768,28511,NONE,0.965799932733102
403.0,0,141.383,4486.6600622,4384.7556072,2492,29651,NONE,0.9772872351398888
404.0,0,139.182,4285.0714084,4217.7134882,1649,29096,NONE,0.984280793998448
405.0,0,141.582,4443.517037,4362.9136343,1973,29893,NONE,0.9818604492727638
407.0,0,141.338,4455.0816916,4362.8318291,2257,29674,NONE,0.9792933398563854
408.0,0,142.015,4464.7640007,4384.7556072,1958,30061,NONE,0.9820800397316732
409.0,0,137.776,4391.4732813,4323.0199934,1676,29834,NONE,0.984412227169526
411.0,0,134.149,4234.6084227,4130.8051783,2537,27788,NONE,0.9754869319572612
412.0,0,137.575,4331.1545593,4243.6896181,2140,28906,NONE,0.9798056291913684
413.0,0,117.127,3807.3108112,3692.7413317,2797,24434,NONE,0.9699080308434578
415.0,0,135.57,4321.5914597,4168.9604035,3722,27152,NONE,0.9646817480034092
416.0,0,140.741,4532.276412,4333.0480782,4848,27468,NONE,0.9560423249401764
417.0,0,140.672,4574.6073558,4338.7071823,5731,26832,NONE,0.9484326948408128
418.0,0,149.415,4798.7920206,4630.6108742,4101,30184,NONE,0.9649534412664602
420.0,0,114.786,3838.3227784,3716.8867689,2963,24480,NONE,0.968362220555453
421.0,0,153.31,4891.9464678,4713.1397825,4359,30580,NONE,0.963448764928858
422.0,0,157.059,4904.4245791,4814.8485469,2192,32978,NONE,0.9817356693419804
423.0,0,155.317,4731.3832042,4656.7992093,1826,32121,NONE,0.9842363233580842
424.0,0,150.912,4525.8068572,4560.4089168,0,32641,NONE,1.0076455007232472
426.0,0,151.736,4480.9165869,4514.1279415,0,32315,NONE,1.007411732389104
428.0,0,86.985,3183.945608,3211.8891264,0,22969,NONE,1.008776380579426
429.0,0,162.991,5421.9634444,5202.0676976,5355,33334,NONE,0.9594435209578708
430.0,0,162.55,5054.5149002,4928.6175509,3077,33116,NONE,0.9750921004713988
431.0,0,161.333,4800.5852202,4713.2062818,2139,32287,NONE,0.9817982736704008
432.0,0,168.106,4729.9347814,4773.7571555,0,34125,NONE,1.009264900284107
434.0,0,151.0,4196.6363339,4284.6979202,0,30355,NONE,1.0209838497533483
435.0,0,162.429,4578.377825,4655.8339877,0,33087,NONE,1.0169178179828355
436.0,0,157.664,4466.8546969,4557.5665635,0,32305,NONE,1.0203077719682607
437.0,0,153.366,4386.2661958,4401.4509503,0,31605,NONE,1.003461886219888
438.0,0,153.435,4463.5729348,4491.3688181,0,32182,NONE,1.0062272721216876
440.0,0,154.512,4482.1181012,4510.3492612,0,32316,NONE,1.0062986202867883
441.0,0,149.616,4375.3714541,4377.6815348,0,31506,NONE,1.000527973618751
442.0,0,149.811,4501.1645389,4484.7648624,403,31980,NONE,0.9963565703145776
443.0,0,144.537,4462.466631,4446.3276107,396,31708,NONE,0.9963833857741624
445.0,0,147.488,4450.2153631,4434.0699451,396,31620,NONE,0.9963719917615956
446.0,0,146.476,4360.4235703,4366.0797963,0,31404,NONE,1.0012971735219776
447.0,0,152.081,4541.8968783,4522.7221781,471,32201,NONE,0.9957782616572358
449.0,0,145.984,4423.4474879,4389.1000829,843,30952,NONE,0.9922351502772544
450.0,0,139.395,4207.1768152,4170.3614522,903,29330,NONE,0.9912493901214252
451.0,0,138.331,4219.2787722,4144.1982474,1838,28422,NONE,0.9822053652167544
452.0,0,137.677,4294.83603,4198.0943124,2365,28404,NONE,0.9774748751933142
454.0,0,142.195,4389.5628859,4282.9199553,2607,28829,NONE,0.9757053416542784
455.0,0,140.735,4473.8342703,4355.9269138,2881,29144,NONE,0.973645121974513
456.0,0,150.912,4717.2732253,4579.848,3355,30391,NONE,0.9708676562207692
457.0,0,152.607,4614.5463062,4401.677649,5178,27710,NONE,0.9538700788604084
459.0,0,157.678,4631.2462955,4484.9918635,3569,29544,NONE,0.9684200703939868
460.0,0,146.098,4329.433256,4211.8013582,2873,28112,NONE,0.9728297236972118
461.0,0,154.992,4676.7155935,4549.3988815,3110,30361,NONE,0.9727764689867068
